ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002161.SZ,20201106,6.32,6.35,6.25,6.29,6.31,-0.019999999999999574,-0.317,41806.91,26322.632
002161.SZ,20201105,6.21,6.33,6.19,6.31,6.18,0.1299999999999999,2.1036,43649.24,27369.778
002161.SZ,20201104,6.18,6.23,6.09,6.18,6.18,0.0,0.0,39073.86,24088.199
002161.SZ,20201103,5.96,6.2,5.95,6.18,5.93,0.25,4.2159,56770.71,34734.036
002161.SZ,20201102,6.13,6.15,5.91,5.93,6.12,-0.1900000000000004,-3.1046,70209.71,42146.236
002161.SZ,20201030,6.4,6.44,6.12,6.12,6.4,-0.28000000000000025,-4.375,71311.16,44546.589
002161.SZ,20201029,6.45,6.46,6.39,6.4,6.53,-0.1299999999999999,-1.9908,46814.49,30018.635
002161.SZ,20201028,6.58,6.58,6.44,6.53,6.53,0.0,0.0,31107.2,20179.512
002161.SZ,20201027,6.56,6.63,6.5,6.53,6.58,-0.04999999999999982,-0.7599,28342.93,18551.478
002161.SZ,20201026,6.66,6.67,6.5,6.58,6.68,-0.09999999999999964,-1.497,28439.0,18734.316
002161.SZ,20201023,6.73,6.8,6.65,6.68,6.74,-0.0600000000000005,-0.8902,27883.0,18705.349
002161.SZ,20201022,6.67,6.79,6.57,6.74,6.7,0.040000000000000036,0.597,29069.2,19509.554
002161.SZ,20201021,6.81,6.83,6.66,6.7,6.82,-0.1200000000000001,-1.7595,38025.04,25522.344
002161.SZ,20201020,6.72,6.82,6.65,6.82,6.74,0.08000000000000007,1.1869,30289.31,20441.438
002161.SZ,20201019,6.78,6.89,6.73,6.74,6.69,0.04999999999999982,0.7474,44438.78,30193.078
002161.SZ,20201016,6.82,6.85,6.62,6.69,6.78,-0.08999999999999986,-1.3274,48675.0,32624.498
002161.SZ,20201015,6.85,6.9,6.76,6.78,6.9,-0.1200000000000001,-1.7391,43712.64,29757.412
002161.SZ,20201014,7.05,7.05,6.89,6.9,7.02,-0.11999999999999922,-1.7094,47176.21,32647.755
002161.SZ,20201013,7.06,7.09,6.98,7.02,7.0,0.019999999999999574,0.2857,58895.24,41363.196
002161.SZ,20201012,6.77,7.01,6.77,7.0,6.72,0.28000000000000025,4.1667,84828.9,58991.941
002161.SZ,20201009,6.66,6.8,6.63,6.72,6.55,0.16999999999999993,2.5954,46240.93,31122.93
002161.SZ,20200930,6.64,6.67,6.55,6.55,6.68,-0.1299999999999999,-1.9461,41224.77,27170.019
002161.SZ,20200929,6.45,6.87,6.45,6.68,6.44,0.23999999999999932,3.7267,71831.71,47971.959
002161.SZ,20200928,6.69,6.71,6.4,6.44,6.67,-0.22999999999999954,-3.4483,68499.09,44454.685
002161.SZ,20200925,6.81,6.85,6.61,6.67,6.79,-0.1200000000000001,-1.7673,56816.2,38042.475

